,ACALD,ACALDt,ACKr,ACONTa,ACONTb,AKGDH,ATPM,ATPS4r,CS,CYTBD,ENO,FBA,FBP,GAPD,GLNS,GLUDy,GLUN,GLUSy,GND,ICDHyr,ICL,MALS,ME1,PGI,PGL,PPC,PPCK,PPS,PTAr,PYK,RPI,SUCOAS,TALA
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,-1,0,1,1,-1,-1,0,1,-1,-1,0,1,-1,0,1,0,-1,-1,0
5,0,0,1,0,0,0,2,-2,0,0,0,0,1,-1,2,0,0,0,0,0,0,0,0,0,0,1,1,3,-1,-1,0,2,0
7,0,0,0,0,1,-1,0,0,-1,0,0,-1,0,0,0,1,0,-1,-1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,-1
11,-1,0,0,0,0,0,0,0,0,0,-1,2,0,-1,0,0,0,0,1,0,1,-1,0,1,0,0,0,0,0,0,1,0,0
13,0,0,-1,-1,1,0,0,0,1,0,-1,1,1,0,-1,1,1,0,0,0,0,1,0,0,2,1,-1,-1,0,1,1,-1,-1
17,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,0,0,0
19,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,1,0,-1,-1,1,0,0,0,-1,0,1
23,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,1,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0
37,0,0,-1,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,1,0,-1,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,0,1,-1,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,-1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0
97,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
101,0,0,0,1,-1,0,-1,1,-1,1,1,0,-1,0,0,-1,-1,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
