,13dpg_c,2pg_c,3pg_c,6pgc_c,6pgl_c,ac_c,ac_e,acald_c,acald_e,accoa_c,acon_C_c,actp_c,adp_c,akg_c,akg_e,amp_c,atp_c,cit_c,co2_c,co2_e,coa_c,dhap_c,e4p_c,etoh_c,etoh_e,f6p_c,fdp_c,for_c,for_e,fru_e,fum_c,fum_e,g3p_c,g6p_c,glc__D_e,gln__L_c,gln__L_e,glu__L_c,glu__L_e,glx_c,h2o_c,h2o_e,icit_c,lac__D_c,lac__D_e,mal__L_c,mal__L_e,nad_c,nadh_c,nadp_c,nadph_c,nh4_c,nh4_e,o2_c,o2_e,oaa_c,pep_c,pi_c,pi_e,pyr_c,pyr_e,q8_c,q8h2_c,r5p_c,ru5p__D_c,s7p_c,succ_c,succ_e,succoa_c,xu5p__D_c,ChEBI_41189,ChEBI_15688
2,2,1,1,1,1,0,0,0,0,3,0,1,2,0,0,1,3,0,0,0,3,1,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,3,1,0,
3,1,1,1,1,1,1,1,0,0,0,3,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,1,2,2,1,0,0,3,1,1,2,2,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,2,2,1,0,0,
5,6,3,3,3,3,0,0,0,0,7,0,3,5,0,0,3,7,0,0,0,7,3,3,0,0,3,6,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,7,0,0,0,0,0,3,4,4,0,0,0,0,3,3,3,0,0,7,3,0,
7,1,1,1,4,4,0,0,0,0,4,0,0,3,1,1,3,3,0,0,0,4,1,2,0,0,3,3,0,0,3,0,0,1,4,4,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,6,0,0,0,0,1,1,0,0,1,1,4,4,3,3,5,0,0,4,3,0,2.0
11,1,1,1,1,1,0,0,1,1,2,0,0,1,0,0,1,1,0,0,0,2,2,2,1,1,2,2,0,0,2,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,2,
13,2,3,3,6,4,2,2,1,1,5,6,1,2,5,5,2,2,7,2,2,4,2,3,1,1,4,3,2,2,5,4,4,2,4,5,3,3,4,4,3,0,0,7,3,3,5,5,5,5,4,4,0,0,0,0,5,2,0,0,3,3,2,2,3,4,6,4,4,7,4,2,2.0
17,2,1,1,1,1,0,0,0,0,3,0,1,1,0,0,1,1,0,0,0,3,1,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,1,0,
19,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,
23,0,0,0,0,0,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,10,10,0,0,0,0,0,2,0,0,2.0
29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
37,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
41,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
43,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
47,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,2,0,0,0,1,0,0,1,1,2,2,2,2,0,0,0,0,1,0,0,0,0,0,23,23,0,0,0,2,2,3,0,2,
